stop_id,stop_name,stop_lat,stop_lon
3773,Marine Drive & Wilson,41.96566508,-87.64858021
3774,4646 N Marine Drive,41.966488,-87.648792
3775,Marine Drive & Leland,41.96734713,-87.6490521
3776,Lawrence & Clarendon,41.969192,-87.650351
3777,856 W Lawrence,41.96915392,-87.65301927
14582,Lawrence & Sheridan,41.96914505,-87.65503789
15461,Lawrence & Kenmore,41.9691222,-87.65654203
18393,Broadway & Lawrence,41.96886619,-87.65976769
5348,Broadway & Leland,41.96733983,-87.65883504
4941,Wilson & Broadway (Red Line),41.96545293,-87.6581643
4943,Wilson & Magnolia,41.96539864,-87.66120358
4945,Wilson & Beacon,41.96535088,-87.66402943
4947,Wilson & Clark,41.96532651,-87.66698252
17247,Lawrence & Ashland,41.96895844,-87.66971304
3787,Lawrence & Hermitage,41.96892754,-87.67246524
3788,Lawrence & Ravenswood,41.96890414,-87.67407125
17603,Lawrence & Wolcott,41.96887476,-87.67651845
17604,Lawrence & Damen,41.96884119,-87.67946362
3791,Lawrence & Hoyne,41.96879634,-87.68147434
3792,Lawrence & Leavitt,41.96877551,-87.6839312
17246,Lawrence & Oakley,41.96872976,-87.68671146
3794,Lawrence & Western,41.96870994,-87.68868597
3795,Lawrence & Campbell,41.96867087,-87.69134421
17245,Lawrence & Rockwell,41.96864313,-87.69407677
18352,Lawrence & Washtenaw,41.96863828,-87.69648863
15931,Lawrence & California,41.96860122,-87.69888391
15948,Lawrence & Sacramento,41.96854818,-87.70386801
3801,Lawrence & Albany,41.96854375,-87.70591784
3802,Lawrence & Kedzie,41.96853249,-87.7082935
3803,Lawrence & Spaulding,41.96848388,-87.71079556
3804,Lawrence & Kimball (Brown Line),41.96848271,-87.7131984
3805,Lawrence & St. Louis,41.96844318,-87.71570357
18107,Lawrence & Central Park,41.96841679,-87.71845733
3807,Lawrence & Lawndale,41.96839412,-87.72059215
3808,Lawrence & Hamlin,41.96837421,-87.72300478
3809,Lawrence & Springfield,41.9683661,-87.72550322
3810,Lawrence & Pulaski,41.96831306,-87.72790766
3811,Lawrence & Karlov,41.96829751,-87.73034544
3812,Lawrence & Keeler,41.96826781,-87.73284107
3813,Lawrence & Kildare,41.96823994,-87.73533817
3814,Lawrence & Kostner,41.96821309,-87.73772281
3815,Lawrence & Elston,41.96819346,-87.7401262
3816,Lawrence & Kenton,41.96818048,-87.74281933
17133,Lawrence & Kilpatrick,41.96812253,-87.74553815
3818,Lawrence & Cicero,41.96810746,-87.74752394
3819,Lawrence & Lamon,41.96807159,-87.74984673
3820,Lawrence & Lavergne,41.9680288,-87.75243653
3821,Lawrence & Leclaire,41.96799979,-87.75487754
3823,Lawrence & Lipps,41.96796488,-87.75922809
17038,Jefferson Park Transit Center South Drop Off,41.96982527,-87.76112886
14102,Jefferson Park Transit Center,41.96984927,-87.76185025
