link,mean,cv
388-389,21.0,0.31
389-390,23.0,0.32
390-391,18.0,0.24
391-14956,46.0,0.29
14956-393,17.0,0.24
393-394,19.0,0.28
394-395,30.0,0.33
395-396,28.0,0.23
396-397,37.0,0.16
397-17169,41.0,0.31
17169-17162,43.0,0.18
17162-14959,76.0,0.27
14959-402,29.0,0.13
402-403,25.0,0.16
403-17163,35.0,0.28
17163-15848,43.0,0.32
15848-406,28.0,0.2
406-14500,36.0,0.26
14500-15852,53.0,0.3
15852-409,28.0,0.25
409-18047,52.0,0.29
18047-17841,57.0,0.27
17841-412,47.0,0.13
412-413,31.0,0.27
413-14764,50.0,0.2
14764-415,27.0,0.18
415-416,31.0,0.24
416-417,45.0,0.24
417-15185,39.0,0.4
15185-16110,38.0,0.19
16110-420,49.0,0.29
420-421,17.0,0.15
421-16088,19.0,0.31
16088-423,29.0,0.27
423-15364,95.0,0.36
15364-425,61.0,0.33
425-15384,37.0,0.16
15384-427,32.0,0.21
427-428,43.0,0.25
428-429,32.0,0.32
429-430,32.0,0.27
430-431,41.0,0.35
431-4727,37.0,0.46
4727-432,68.0,0.45
432-15279,60.0,0.32
15279-16049,24.0,0.33
16049-435,45.0,0.28
435-436,47.0,0.32
436-437,55.0,0.31
437-14647,60.0,0.15
14647-439,42.0,0.23
439-440,74.0,0.28
440-12754,42.0,0.36
12754-442,76.0,0.35
442-443,94.0,0.35
443-445,151.0,0.24
445-446,61.0,0.24
446-18122,71.0,0.25
18122-448,97.0,0.32
448-1119,146.0,0.43
1119-1120,57.0,0.27
1120-1121,44.0,0.38
1121-3953,60.0,0.27
3953-3954,31.0,0.43
3954-8613,219.0,0.61
386-388,39.0,0.34
448-449,53.0,0.25
