method,wt_mean,err_wt_mean,wt_median,denied_per_mil,wt_0_2,wt_2_4,wt_4_inf,rbt_od,cv_h_tp,err_cv_h_tp,h_pk,std_h_pk,95_h_pk
EH (low),2.74,0.044,2.7,2.08,53.13,33.11,13.77,1.89,0.54,0.005,4.71,2.86,10.38
DDQN-LA (NR+low),2.62,0.015,2.62,7.24,53.73,34.14,12.13,1.73,0.5,0.003,4.61,2.64,9.52
DDQN-LA (R+low),2.66,0.02,2.66,2.18,53.2,34.42,12.38,1.69,0.51,0.002,4.68,2.67,9.38
DDQN-HA (NR+low),2.62,0.015,2.62,7.24,53.73,34.14,12.13,1.73,0.5,0.004,4.54,2.48,8.91
DDQN-HA (R+low),2.56,0.021,2.52,5.21,54.88,33.29,11.84,1.69,0.51,0.003,4.64,2.56,9.19
EH (medium),2.81,0.064,2.7,3.11,52.33,32.6,15.07,1.99,0.56,0.004,4.5,2.74,9.58
DDQN-LA (medium),2.85,0.05,2.86,3.04,51.72,33.25,15.03,1.99,0.6,0.006,4.63,3.17,10.64
DDQN-HA (medium),2.73,0.028,2.7,9.25,52.45,33.63,13.92,1.86,0.55,0.003,4.66,2.6,9.04
EH (high),3.04,0.094,2.95,7.68,50.48,31.23,18.29,2.18,0.64,0.006,4.69,3.41,11.61
DDQN-LA (NR+high),3.05,0.087,3.03,5.76,49.69,32.12,18.19,2.12,0.67,0.007,4.59,3.62,10.94
DDQN-LA (R+high),2.99,0.092,2.9,5.13,50.98,31.45,17.57,2.11,0.64,0.006,4.59,3.28,10.71
DDQN-HA (NR+high),2.85,0.044,2.84,9.64,51.33,33.09,15.58,1.92,0.61,0.005,4.6,3.17,10.52
DDQN-HA (R+high),2.88,0.036,2.85,11.7,50.71,33.27,16.03,1.97,0.58,0.003,4.69,2.96,10.49
